date,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,hosp_patients,icu_patients,reproduction_rate,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence
2020-05-01,Asia,Germany,6019877,2953,345665,192,86121049,16693,0.705434185,185.4773232,61375184,2087444,35179811,21496,8366,1.543761454,55.66185888,906800642,259.3661446,34.94351061,10.79869625,15.67820597,43770.42743,35.52059302,608.0744796,15.71191096
2020-09-01,North America,India,103355,1999,219222,529,44856075,18261,0.2965095,51.798575,92680458,23463086,19490452,26467,17747,1.596934656,4.496857122,256450043,705.1703225,40.90184883,21.50594822,5.538982643,45771.84322,22.36976719,759.8274224,12.32499351
2020-04-01,Europe,Italy,1262752,1227,189518,9,19231255,27378,0.510138542,271.4942019,31035322,58601297,21343124,83222,9229,2.107658994,21.08385428,689158028,774.4843872,30.85792627,16.07410553,5.304086654,19920.22313,26.43724305,359.0640375,13.99254903
2022-03-01,Europe,Russia,9784633,6337,183500,91,56292424,86755,0.667673951,157.0039626,10137559,53440589,30490203,7118,15028,0.853823195,50.65449768,435402720,132.0569136,22.34975957,6.703052287,5.075615944,61741.54158,41.35136496,504.1211191,7.107536962
2021-10-01,North America,Brazil,5664789,3735,441110,138,40907614,11937,0.026256819,135.7075038,85201857,52230692,36060579,63884,7489,1.021879205,16.37591228,84799838,231.7992469,48.05094973,12.2875822,9.108280354,46624.75956,20.68665107,722.2208791,4.980413383
2021-08-01,South America,Italy,5743066,4152,5499,332,89318449,72322,0.252595093,458.1825534,40796132,40707264,41091850,81037,2090,1.384513533,2.773600254,441103456,893.1934967,27.21156307,10.17584201,7.369828434,3344.974841,46.87544093,522.2700014,9.949714741
2021-06-01,North America,Brazil,4721339,7470,293459,339,39708715,45313,0.030161372,338.6876734,77487670,3644092,31463675,51716,10944,1.113110137,97.73209942,1024330273,52.96396662,44.8542632,21.7455318,8.750651722,24404.35169,15.41816219,502.8502514,1.048253775
2022-12-01,North America,India,1954354,1088,226486,717,31475949,95326,0.786282307,43.02727234,69142485,32580085,38899612,357,16737,0.506072038,49.16093781,1223996576,541.2442201,33.34550183,12.2124695,15.88515375,54081.88443,49.98247672,640.7820228,18.87029059
2020-10-01,Europe,France,2428388,24,257831,474,4529458,48821,0.208840416,438.9220752,33403195,61778743,22553934,16802,18497,1.82854045,50.38371913,8588889,521.5187995,43.5269443,23.85162544,16.02207575,39412.21536,35.66199409,650.1807863,12.68764553
2020-06-01,Europe,France,8916786,9764,400705,400,33013055,28365,0.196790134,486.643525,43005603,77454596,21286726,54739,14956,1.821253151,25.25484407,401226423,887.0962301,20.72986462,13.40203428,7.007642325,21561.59878,37.0220793,371.499443,16.52342718
2021-02-01,Asia,France,2663046,6144,353791,438,30901994,13189,0.642579916,151.2632706,3719931,20791682,38989934,85875,3206,1.541189361,47.64319556,880981256,868.2730813,37.6509796,7.282265304,7.006137711,30037.53123,33.97873435,564.8480882,4.286085168
2022-04-01,Europe,India,3385357,2235,379553,921,84664230,8050,0.730672012,32.94356966,20093843,21663516,3157094,10943,3106,0.560873071,83.36917616,1381292912,422.5929718,49.82124358,7.495197121,7.542433851,18805.00162,32.11572486,738.9269657,15.82906928
2022-10-01,Europe,India,1825665,8448,221421,597,83804897,54479,0.231845157,382.9790857,68620390,20232216,13472637,16250,9658,2.414854671,90.52419376,1390747028,288.1741019,40.22806069,12.88569844,8.950299358,54487.86961,12.65026032,403.4538907,4.223150849
2020-11-01,North America,Brazil,2745683,3747,349317,508,55805235,80934,0.108186195,226.9079569,58270595,38786965,53325557,82169,16340,1.363183194,75.57407765,533806271,58.59445914,45.69570686,18.77985079,8.890067179,33923.68481,24.33490689,442.310708,7.787597191
2022-06-01,Europe,Russia,4056518,3175,264140,152,59492725,40883,0.640916775,315.1420197,78494428,25106925,49207123,44053,11180,0.853483643,7.571689711,294518216,30.41486576,23.36983283,12.7790858,12.52224641,16808.54066,36.43052614,783.6379673,7.051872543
2021-05-01,Asia,Brazil,6397986,7427,3089,853,72572626,90987,0.726608021,371.4023436,61869527,63997206,32007790,71405,8495,1.534354763,31.88633598,924947098,453.4202006,20.40393219,16.13974791,12.41073133,23957.4415,46.28099578,564.7559518,15.32982904
2020-12-01,Asia,Brazil,4155299,2014,282803,771,18868867,2925,0.403589471,15.90276562,56235479,56581473,35843959,49662,13097,1.811167976,50.42459228,172126264,472.841809,48.40453755,18.08968781,7.249714932,53382.53279,0.396687105,586.9597608,16.21375784
2021-11-01,Europe,France,6249859,1381,307322,675,45659566,80051,0.4043747,225.5839581,28552761,67516956,69215447,61311,15775,0.870550655,85.14121987,1128382679,87.82323029,21.13075391,19.85215938,14.2900522,6958.264631,25.32047878,552.9414153,2.729322738
2020-07-01,South America,France,2305413,1098,95965,5,47429722,50272,0.226304286,432.8187936,64975517,19609231,25985626,79493,18316,1.968954513,1.795628578,329969803,556.4166868,28.82498971,22.19940515,16.44076744,62241.70416,29.3572132,630.9282263,12.30822832
2022-04-01,Asia,Germany,3910197,3426,81268,499,93050144,5310,0.017325972,75.41471883,49077323,36358620,1705873,71504,18424,1.683792427,42.82884057,305672610,97.31666692,31.1932252,7.055411205,11.14292994,13076.70588,27.68567146,152.1139651,17.39701658
2021-05-01,Asia,India,5414709,7938,368615,716,7124801,92944,0.212414733,54.98961788,3463357,8019446,19816473,91477,5775,1.856513765,94.74759367,856023354,852.9623031,42.77009712,6.46532738,12.10117579,69204.29532,25.16756409,638.5020828,13.06286687
2020-08-01,Asia,Italy,271836,9101,201798,117,87668956,44528,0.208326918,181.8295572,41878265,28203531,69048988,56657,9000,1.627930917,24.10369176,539654429,296.5273279,30.74313378,23.48233608,4.002939455,28488.70585,14.69034569,359.431181,10.72071828
2021-02-01,Europe,Italy,7281369,5409,237103,600,22476701,84816,0.18959549,96.50606699,96107370,38832899,63321248,25499,10484,1.780760566,14.22602122,116580276,513.835092,49.84977876,21.70871294,3.167492492,60965.72769,10.41897053,462.3692863,2.912816217
2021-04-01,Europe,India,3769315,5647,375348,160,8537341,42311,0.636957618,182.6084776,21189622,62041846,65726672,37909,19946,0.579806541,12.7961752,342137851,527.6078628,31.22626983,21.59539166,18.27324205,41337.09232,20.72379274,114.3084889,18.96171771
2020-03-01,North America,Brazil,1046797,5185,153956,269,79527723,3980,0.972484562,187.7933105,97617340,65763502,33542168,34894,17646,2.168877313,38.68757897,908540194,236.1103947,24.97980506,12.84342691,8.788343001,6570.86531,43.42493706,239.1223627,7.339111445
2021-05-01,Asia,France,3047262,5776,279343,55,92570665,20886,0.068265866,251.5352675,43178132,14872128,15835681,84124,6393,1.254764048,88.30356173,928248346,663.5862489,21.63681625,11.58534141,19.70026903,12159.21523,10.71444141,213.1157428,15.1879284
2022-04-01,Asia,Brazil,564685,7547,57786,848,1120816,50877,0.245897934,341.1527314,45998871,41866808,19434346,15473,542,1.415798194,83.36277225,224771402,489.9617989,47.03873713,5.523362767,16.35026732,69633.46406,49.27032028,638.6878144,2.858712055
2020-05-01,Europe,Brazil,3366612,5409,405881,631,88437118,1128,0.671112498,84.51875818,94122434,5863077,54941842,50450,12431,1.083490697,4.981283808,1182631661,291.2805946,38.64711518,10.31948132,4.646839114,25257.15199,5.751912714,242.9620539,14.05845183
2020-11-01,Asia,India,8411855,2951,262678,339,16773468,79522,0.032375377,441.4630594,82814044,26735937,13139452,56700,15479,1.609993814,18.78457113,952470317,939.4014375,37.74185733,23.86557209,5.595918499,60442.768,44.34540443,152.4569654,15.99441647
2020-04-01,Europe,Russia,2704238,4727,377864,519,8790784,81696,0.346640432,237.0321085,54418372,74550584,7940959,20339,17583,2.421711352,42.06280869,1162933813,903.1395059,33.07304924,16.22761596,6.388828275,60662.7784,14.08801638,580.2690125,19.17073382
2022-09-01,Europe,Italy,3494679,5686,189826,386,60574085,95148,0.807555551,105.7453718,73124272,55309795,19821730,64351,16173,2.342038028,57.19106158,546572077,863.558984,42.13534131,14.71574816,11.30744934,44591.05057,8.655014037,540.9848938,14.32458807
2020-12-01,South America,Italy,5517209,9242,325724,472,8316308,52882,0.053862114,277.3458764,24095673,52036381,63538212,52839,10872,1.245405168,18.94290246,1336342697,546.2799702,28.48400143,23.90374107,12.64990048,58487.93864,21.98529893,387.8991227,18.9182139
2021-06-01,Europe,Germany,1767640,3701,415685,274,52850274,21725,0.069672864,62.91934526,5356465,78052230,43706827,64236,7032,1.596710835,61.39441831,841036981,603.2069383,32.98340851,9.89504898,5.617139029,53242.0494,8.82687745,657.9919987,17.64282292
2021-08-01,Europe,Brazil,6723771,2780,326160,352,4610635,72534,0.440521744,223.6101426,62118653,78368356,11853016,79619,4688,2.180332591,33.65545875,1126115111,450.6475872,43.78228053,7.159163525,6.276821424,12151.99603,15.36155433,207.1475381,14.85117239
2020-08-01,Europe,France,1285160,7398,46233,65,63820058,39950,0.252554547,284.9518483,97423351,54538621,30242519,48287,12854,2.307000069,73.40107351,139912331,154.1821663,47.67669171,23.59094569,5.139552629,45753.1855,13.49328689,669.1156368,18.42770742
2020-02-01,North America,Russia,6080526,1588,496020,78,86686025,88954,0.745452414,302.8376111,5118036,61733079,58345610,60306,4786,2.388727156,55.72044502,10806617,557.968201,46.73968919,9.260766284,11.74722759,11224.11271,14.15469661,356.151326,16.53041882
2021-05-01,Europe,France,5173036,2368,392007,597,19881139,83576,0.634190077,182.7643985,78842639,42289693,17468514,52197,3681,2.258303987,55.42686268,159560076,977.673748,34.32892856,19.98310707,16.1861692,60992.47241,48.49131557,207.8070063,10.54282787
2022-04-01,Europe,France,48984,436,451448,201,9255404,21825,0.324678956,327.6630357,54740692,79354126,53460191,67621,8856,0.548429611,33.3018991,1255339819,750.0234999,35.87316326,24.20372031,7.440923949,69106.22024,24.84307627,788.5182467,1.167025018
2020-02-01,Europe,Brazil,2230919,7570,106311,557,36693309,57797,0.345274494,467.9379847,73807331,58405930,67602662,35495,12693,0.809517203,42.15556205,279519283,177.9190425,29.34597586,24.0196964,4.938849491,65561.57387,37.72728441,287.9937766,11.5406091
2021-09-01,Asia,France,7469344,7190,401954,288,14824516,13338,0.350189406,49.33563793,4150926,6309401,44747158,37458,19492,2.413957673,69.8957407,565607340,813.758783,48.52342174,21.04912208,3.154353063,22855.7828,41.18446246,633.2280061,2.680466417
2021-04-01,Europe,Italy,2109818,6687,496246,900,33204861,76289,0.118672492,496.7100548,45110515,36027863,2602034,51946,907,1.123887157,0.428114203,462795813,276.2222377,27.97747038,9.829434888,4.591218507,37489.59222,26.61577076,650.8117787,12.9046294
2020-01-01,Asia,France,2231785,5565,286198,729,28474481,71520,0.02898059,200.1903399,5254162,71229060,19982815,66601,8507,0.81942614,9.529042221,1044648650,100.9318956,25.43620045,23.29209719,13.35790805,49328.49813,32.88366719,791.764228,2.894942435
2022-11-01,Europe,France,3853339,7241,29709,588,1595575,18895,0.112869418,81.56055793,16155687,55285902,25282269,69218,13573,1.936600361,94.88098895,1357143951,342.3697971,46.98437188,9.419526582,6.101071233,66686.37305,23.90621584,147.3174697,12.80475683
2020-11-01,Asia,Brazil,996107,5575,478859,376,68842193,65898,0.686956069,112.8653842,65690115,33535580,35549452,47561,18318,1.128075699,41.81208919,832997193,456.3675972,27.80798154,15.25425159,10.93809486,11848.64256,15.66915401,322.051232,14.53212498
2020-06-01,Europe,Germany,3747389,8851,494829,151,85433637,60797,0.437615629,237.3228616,23383716,19856967,10777494,96996,7426,1.286522478,92.51791895,244018503,908.4792316,29.83018689,7.070104628,16.92009285,29344.93509,26.65805313,790.4101239,5.487999417
2020-04-01,Europe,India,7988004,6555,465417,750,90972012,50637,0.954155669,222.96198,66095788,58527672,27161201,57232,6334,1.838258453,17.08690495,1322965103,787.6628663,25.96493559,13.5347343,7.981573688,39687.2511,25.83210568,705.3807261,10.08514606
2021-02-01,Asia,France,6245035,9203,45689,626,95361377,5349,0.773276223,34.74341238,92014416,79872990,22142005,18757,19006,2.144452651,2.910354333,444953960,629.5753632,37.22822361,14.58042113,10.84765307,61946.8952,45.81206556,163.5460607,11.27553214
2021-12-01,Europe,Germany,2121690,2307,91074,605,63650207,7750,0.89558319,130.8101386,23727749,52777272,58407554,8058,17909,1.077924495,83.90366116,1214137919,599.1253089,32.472024,13.13185721,8.652450502,47286.82135,17.34279478,190.1428122,19.98964651
2020-11-01,North America,Brazil,6914550,6919,413440,461,9676864,58792,0.424561238,54.83191482,23011815,20762982,66826212,72195,6826,2.356120711,75.47753911,596386175,452.0625117,24.7038553,21.24177515,4.637684275,25691.92127,14.36738057,693.6609322,15.10620679
2021-05-01,Asia,Brazil,6167294,5585,367371,11,98151586,13686,0.837327434,159.4386421,54903234,39445174,62761470,56980,6795,0.641172979,26.68477635,781397694,411.4527138,43.70713242,24.79887849,16.20978158,28982.90679,19.39227568,480.6811687,9.18617605
2020-05-01,North America,Germany,5888794,4945,123745,476,48541668,22787,0.823450808,55.81834359,77659066,25625984,43077972,47351,6369,0.735464601,69.82260124,456282575,799.7749256,22.9228091,17.58347495,4.812217763,66278.72356,6.89299423,644.4057845,17.18147797
2020-01-01,Europe,Brazil,7558158,7927,424041,938,39767147,14776,0.154264271,220.5174029,61245332,2839025,26463139,85841,8544,0.867170062,10.0384151,372308313,830.7269626,44.65539981,10.56384244,18.14517697,38812.7918,14.10471022,219.4100469,4.293370851
2022-05-01,South America,France,8511017,7758,28885,807,88704610,57427,0.517964951,111.6575236,10116815,5942178,16433681,47501,9619,1.619332082,7.600098897,1046248245,302.1765317,31.21072836,18.91184942,13.61702244,5863.334453,20.79377252,339.1806124,2.163718985
2022-10-01,Europe,Italy,7887739,5086,171128,176,23712279,61086,0.226443762,321.089706,52623444,31694319,27295543,55877,5826,0.768952392,65.44739882,938212830,933.3738085,35.16590306,10.63116322,17.39135938,50210.24306,46.694097,368.6310346,6.471649438
2022-06-01,Europe,Russia,5292895,7161,191313,56,59369823,15797,0.578695079,103.5567368,55070127,79764425,65540418,3769,19920,2.305350588,90.54133586,481255193,798.6756983,46.82563246,12.93847718,7.516783744,4477.222143,38.30277861,511.8945336,17.31090309
2020-05-01,Europe,India,7971379,1884,395460,854,81819290,5302,0.206902895,355.8954199,12050999,41983950,13109186,31586,15250,0.718601262,34.99776834,922458702,13.25009109,20.29802113,17.82293938,18.44175146,14691.37103,4.667169864,165.3940683,11.96347228
2020-03-01,Europe,Germany,3256415,3167,330763,447,5133869,38059,0.631644489,249.0602582,38895244,38622689,5805761,85551,16917,2.026003555,17.87615844,501286265,872.2395955,39.57104818,16.11333044,15.00839074,12796.78868,30.80511207,534.6792144,17.32163434
2022-11-01,North America,Germany,874371,6352,21584,202,92965205,908,0.317760507,448.8341731,84468355,62899564,5758829,67879,9409,2.277166234,54.65621898,196743054,344.8509504,31.47155025,22.98474804,5.380204955,46446.57087,21.72390809,793.1972986,12.3270801
2022-05-01,South America,Germany,5654237,9009,270665,696,8763127,60252,0.232184783,483.195033,67813854,66115736,6192373,68922,15529,1.172085125,93.88399052,257854742,729.2856651,26.58000926,10.9020065,14.53231722,65062.33346,33.33371264,271.9565068,5.414592426
2021-03-01,Europe,Brazil,973548,6056,181089,632,41037858,80659,0.878750139,181.123226,64768712,50604578,63275252,52219,14795,0.828875011,90.16330706,84255787,661.0980769,27.19048044,24.31947472,4.243736924,53645.29745,48.6703146,575.7203947,11.67502768
2021-09-01,North America,India,9602083,9080,70268,329,97313216,86971,0.035605227,201.8177631,73062196,34450861,46463885,90987,18363,2.460066888,26.7431363,1369914036,121.4015224,36.91472439,6.100787875,10.91941015,27665.60927,32.01119613,167.4258539,14.75608757
2022-11-01,South America,Italy,2959034,8859,380350,453,52363536,48408,0.100882028,394.9907747,6523058,66923307,41084600,89131,10136,1.334585075,73.88517856,574769172,958.4016175,35.17212997,21.87426654,8.738649689,16602.41601,23.27912428,291.1403436,12.54624303
2022-12-01,North America,India,4574293,7818,458168,355,1038904,83251,0.587358206,57.23228299,69512616,11767690,44476628,63402,11291,2.329258875,34.39781922,940156084,802.2393256,46.93584519,19.75276843,9.517375103,42596.16055,37.27373375,795.5113555,1.611142703
2020-02-01,South America,Russia,6706971,4728,224126,215,5635222,88771,0.452182685,59.94203579,59889082,47463675,52246020,85934,6241,1.315661769,38.26658296,854930576,539.17225,38.54275757,22.69092574,14.08727972,27958.67353,10.40487805,627.8765353,15.240925
2022-10-01,South America,France,109556,4232,226305,886,90275486,43060,0.453156744,344.2106731,54913390,43211109,7297702,94426,4114,1.14187357,10.27280201,291631338,18.31750904,40.9314734,10.41135856,15.56786889,19915.42617,40.66223355,234.1309743,12.53107372
2021-09-01,South America,Brazil,1575557,5793,395783,22,61931813,17189,0.156244114,113.3791235,21726243,35383773,18053543,16362,14347,1.301680941,24.25884642,851362468,111.3425587,32.97222946,16.66217669,12.82141005,36357.13177,21.67217697,309.1448977,15.60466557
2022-12-01,Asia,Russia,8306461,4523,409337,154,77081924,86067,0.957527228,17.59267137,44988878,2059838,41075050,99326,2584,0.535017509,12.40324314,340346501,601.0885408,47.77944906,17.36049556,5.18166214,25442.52603,28.46243852,441.0376211,13.14269061
2020-09-01,Asia,France,1201482,9010,76411,248,15177259,81991,0.736722427,186.7610518,19870523,79609260,18183884,503,1488,1.172637103,93.75657841,549017366,909.8165943,36.55324008,23.73190844,3.307689326,16397.4717,25.70189499,117.3133543,9.993459234
2021-08-01,Europe,Russia,542335,9298,109876,748,91529977,65563,0.690206665,38.79422584,42825604,7104494,41582053,41045,13319,2.107679472,12.0299476,51184792,494.7660861,35.7489651,17.79909177,16.67472863,7652.932299,44.21731319,760.349389,11.10508875
2021-10-01,Europe,Germany,4270070,2224,459491,804,48928001,8660,0.423336442,298.3196,77695121,72016897,54427628,13576,227,0.714225227,81.83221436,1003022530,265.1894048,29.4856706,21.74962401,8.164560846,66455.60809,23.90700547,479.9650256,1.726624417
2021-03-01,Europe,France,6700379,8389,198153,133,75771215,90875,0.923282416,323.6272557,24930683,12779294,26451110,33290,5242,2.020422254,53.46480314,13919102,399.8829579,26.93715307,17.40781495,4.992596359,22585.55122,0.373779323,113.8090169,18.10420493
2021-03-01,Europe,France,6860006,8662,140399,389,73877278,55842,0.803259072,371.4390379,2211584,38482133,14201892,11884,14850,0.983564656,17.0082368,827996960,927.920945,41.54524946,19.73238316,19.37328477,46578.86439,30.88586707,149.9460583,19.59000041
2022-03-01,Europe,India,2235000,3796,381387,664,58586728,61404,0.838534908,483.943825,26087196,25951078,24809070,1268,12988,1.218073204,92.02449445,743434630,781.6576007,22.91234192,13.26481151,15.4699626,67947.88387,30.12417747,201.0291041,9.372627547
2022-11-01,Asia,Italy,6908531,234,403708,124,74123247,94182,0.58373225,340.70353,36741434,21673601,65988840,66712,13198,1.301765647,39.81923527,177139924,230.6162399,43.98835738,11.20561659,14.16457366,46262.85127,17.26955822,164.3084909,7.6845141
2020-02-01,Europe,Russia,4322252,9120,448013,78,45231048,91787,0.403035489,157.6049236,97556286,24997447,69518301,18016,698,1.15217596,46.19693841,990910144,535.7345183,27.68391797,7.244441634,16.96510513,49796.98091,42.30335762,150.2082491,11.26165258
2020-05-01,Asia,Germany,5822184,3607,189167,857,50529818,15954,0.946502421,366.9299351,53902945,14142110,56834623,61939,437,2.452962225,46.9595016,1374420833,326.1590893,36.58117528,21.47656457,9.488878251,30385.6435,34.87830899,667.2332413,19.20766804
2022-07-01,Europe,India,2548421,522,325361,50,38978876,40725,0.803094576,62.85745389,61896637,56826747,32528826,77497,6180,2.245950993,32.82326546,518019178,114.0286511,27.14236527,11.92712545,13.61763931,30238.03381,40.40036342,783.1406517,7.232850983
2021-12-01,Europe,Germany,1954109,5904,89044,727,4375296,45434,0.612049621,237.6801787,85192239,39713156,36587323,49266,9876,1.297535181,84.68202361,1048630923,145.1067559,23.47313104,15.09928499,9.769497868,17523.29182,12.90420907,316.430228,13.92301418
2020-02-01,North America,Germany,4422880,4888,271189,175,29155998,85751,0.376895017,375.5119296,31602493,24825990,14003893,41712,18537,2.425739279,34.37221846,1106069901,618.7508504,26.33784819,20.09166235,3.702965176,8961.124063,37.28208948,662.1717172,14.71633364
2021-12-01,Asia,Russia,6457294,7122,337201,965,27875386,16462,0.276719998,193.476352,75860229,66214943,27816919,18972,959,1.50175025,33.98831625,433764268,592.4140874,49.91892532,14.58301567,10.20311782,17911.32854,24.42689153,136.2812162,11.25003738
2022-10-01,South America,Italy,61087,1316,27302,738,32470815,54081,0.075158565,499.1219569,38185413,26752424,64268919,73162,7587,2.27377101,10.31268471,304251735,630.1128304,45.91665174,16.11943318,8.452339252,27370.73187,4.908911005,315.1488674,4.815381573
2021-05-01,Asia,Russia,6409907,1124,404499,105,95504627,52799,0.347558327,241.2360115,62339514,1090857,7834864,63412,8906,1.472853479,92.20622672,450839874,985.7319625,36.47533076,7.746456851,15.5974866,62194.23047,42.60604794,226.8351046,7.615967777
2021-02-01,Europe,India,1496176,5621,162007,192,95547950,66567,0.614757389,402.6106049,23375109,17905143,24369865,45281,14298,2.437109818,82.03998386,114558457,40.68265414,39.99749238,12.77366431,15.39573494,39534.98666,26.67440944,593.1601694,4.872208341
2022-03-01,Asia,France,39353,5423,72534,315,73934328,89301,0.837519315,402.494028,52320798,53817300,21730203,28403,9697,1.009722023,67.05038275,150320008,707.1046753,24.69043909,17.42138744,16.92161315,43959.67966,29.72173608,727.1146222,17.85164253
2021-09-01,Europe,Germany,7654909,5672,13440,953,76484451,55240,0.39195614,135.6101382,86336311,61817232,57824611,49985,5008,1.236333516,41.10603164,1208487862,391.9917071,46.43430303,6.355646814,7.280144979,5375.950187,2.099417505,347.4994584,15.45045446
2022-11-01,Europe,Germany,4959617,3374,308645,933,84722438,17868,0.809587271,281.3007462,64419796,53718574,67268629,73939,3960,1.886646118,43.30172798,288665627,316.4426914,35.20759879,5.040311482,15.94978852,49420.0769,43.1768736,676.843115,14.03724869
2020-10-01,North America,Brazil,5725570,1519,480549,778,43736877,75973,0.553645218,279.8074712,56893608,38710237,48061770,95155,9944,1.940564338,0.524133681,1261013960,167.5139888,21.53036638,18.67488983,4.676506334,53989.50924,9.715871182,174.965544,10.37399478
2021-11-01,Europe,Russia,416880,5777,394485,267,85858552,80989,0.846654914,83.10765094,3682027,27687620,52311331,68155,2505,1.452504818,15.77541156,1118093996,726.2773929,33.70468029,14.11840174,19.69589389,30917.66986,29.6900333,732.2497491,9.967599755
2021-05-01,Europe,Italy,7072695,7935,270012,169,33057049,22222,0.518551756,140.5765071,62955281,30598598,62433974,66883,18121,0.653653914,43.40724124,1264128934,905.5741765,38.86604478,7.056353885,17.87651755,25309.05936,30.13495603,520.7939729,17.74441144
2022-10-01,Asia,India,225281,4968,169801,291,12013272,78513,0.923827206,43.87802788,74488483,68072224,10841637,99214,19063,0.864551168,1.278853774,23667901,738.3052637,34.10194765,8.554429477,15.48313116,21364.6287,17.54203386,312.9674808,18.73473002
2022-12-01,Europe,France,3782875,9083,15734,563,30011229,54649,0.639144738,77.86300596,31370758,69593210,64769196,7166,17421,1.28782465,47.75005222,1014643579,959.8507066,49.94109374,23.53512595,15.85760964,45717.43691,6.231622591,344.6605855,3.914333079
2022-09-01,Asia,Russia,7734102,4072,172409,800,33222319,10223,0.059003334,359.3895903,21171473,70228463,53122975,65441,9103,0.677734798,59.67680315,1319704492,440.7391463,32.82582282,19.47906793,16.68251961,2515.693913,38.1995837,424.8442693,10.42114083
2022-08-01,North America,Russia,5674719,8588,345744,145,85474996,39369,0.188925067,101.6420427,53077026,23357815,35709717,75569,18480,0.681296458,16.22593357,1355738809,394.5929727,22.42102464,15.45403408,3.689853436,23986.48092,11.81031834,557.1255551,15.75645654
2021-01-01,Europe,France,8658144,4424,455730,424,35789700,86379,0.256520427,280.2276734,17418734,12453858,9676118,27224,15785,0.813991312,20.24185635,724529568,755.6083417,43.22516436,16.50904873,8.323740499,49025.08636,40.12272976,218.4601888,18.18520619
2022-08-01,Europe,Germany,5500306,3893,140183,183,63135935,59526,0.965400117,411.6248013,19862848,70210318,56857959,3485,5953,1.387991045,74.24110436,196271491,969.0000948,41.11001171,11.43512501,6.203675367,1102.34704,10.16959839,590.3238108,2.274687734
2022-11-01,Europe,India,5031595,9388,113783,127,16275309,71718,0.847216168,281.4656158,2443647,18450431,65617580,86208,7236,2.134480485,74.98446935,77460625,454.634884,21.61914909,17.50709697,18.49636077,16139.5181,5.461991264,658.9565342,13.81616988
2022-02-01,Europe,Germany,9070277,8353,466836,822,4962826,7970,0.924081934,303.0323481,21474535,19940886,22302992,14262,4974,1.732509842,57.75321666,341723229,20.51304015,27.31570308,18.31901362,9.222194165,9835.9575,44.32662965,131.1988662,8.836136872
